abandon
abase
abash
abate
abbreviate
abdicate
aberrant
abet
abeyance
abject
abjure
abrade
abreast
abridge
abrogate
absolve
abstain
abstract
abstruse
abysmal
accede
accelerate
acclaim
acclimate
accolade
accord
accountability
accrete
accrue
acerbic
acknowledge
acme
acolyte
acquiesce
acquit
acrid
acrimonious
acumen
acute
adamant
adduce
adept
adherent
admonish
adorn
adrift
adroit
adulate
adulterate
adumbrate
advent
adversary
adversity
advocate
aesthete
affable
affect
affiliated
affinity
affirm
afflict
affluent
affront
aggrandize
aggravate
aggregate
aggrieved
agile
agitate
agony
ailing
albeit
alienate
align
allay
alleviate
allocate
alloy
allusive
aloof
altruistic
amalgamate
ambience
ambiguous
ambivalent
amble
ameliorate
amenable
amend
amenity
amity
amorphous
anachronistic
analgesic
analogous
anathema
ancillary
anecdote
annotate
annul
anomalous
anonymous
antedate
antidote
antipathy
antiquated
antithetical
apathetic
apex
aphorism경구,
apocalyptic
apocryphal
apologist
apostate
appall
apparition
appease
appraise
appreciable
apprehend
apprise
approbation
appropriate
appurtenance
apropos
arable
arbiter
arbitrary
arcane
archaic
archetype
ardent
arid
arraign
arrest
arrogant
articulate
artless
ascendant
ascertain
ascetic
asperity
aspersion
assail
assert
assess
assiduous
assimilate
assorted
assuage
assume
astringent
astute
asylum
atone
atrocious
atrophy
attentive
attenuate
attest
attrition
attune
audacious
audible
augment
augur
auspicious
austere
authenticity
authenticate
authoritarian
authoritative
autonomy
avarice
avenge
aversion
avert
avian
avid
avow
awry
axiomatic
babble
backwater
badger
baffle
bale
balk
balky
balm
banal
bane
barb
barefaced
baroque
barren
base
bask
bastion
bauble
beatific
bedecked
bedlam
befitting
befuddled
beget
begrudge
beguile
behold
beleaguer
belie
bellicose
belligerent
benediction
beneficent
benevolent
benighted
benign
benignant
bent
benumbed
bequeath
berate
bereaved
bereft
beset
besmirch
bespeak
betray
bewail
bewilder
bewitch
biased
bifurcate
bigot
bilious
bilk
biting
bizarre
blackmail
blandish
blare
blatant
blazon
blemish
blight
bliss
blithe
blunder
blunt
blurt
bluster
boast
boggle
bogus
boisterous
bolster
bombastic
boon
boorish
bootless
border
brackish
brazen
bravado
breach
breakthrough
brevity
broach
bromide
brook
bucolic
bully
bumptious
bungle
buoyant
burgeon
burnish
bustling
buttress
cabal
cache
cajole
calamity
calculated
calibrate
callous
callow
calumny
camaraderie
camouflage
candor
canonical
cant
canvass
capability
capitulate
caprice
captious
captivate
carefree
carcinogenic
castigate
casualty
catalyze
categorical
cater
catholic
caustic
cavalier
cavil
cavort
cede
celerity
celibacy
censorious
censorship
censure
cerebral
ceremonious
certitude
cessation
champion
charlatan
chary
chasten
chastise
chauvinism
cherish
chicanery
chide
chivalrous
clique
choleric
churlish
cipher
circumlocution
circumnavigate
circumscribe
circumspect
circumvent
civility
clairvoyant
clamor
clandestine
clannish
clarion
cleave
clemency
cliché
clout
coagulate
coalesce
coarse
coddle
codify
coercion
cogent
cognizant
coherent
coincide
coincidence
collaborate
colloquial
collude
combustible
commensurate
commiseration
commitment
commodious
commonplace
compatible
compelling
compendious
compensate
complacence
complaisant
complement
compliant
composure
compromise
compunction
comradeship
concede
concerted
conciliate
concoct
concord
concur
condensed
condescend
condolence
condone
conducive
confer
confidential
configuration
confine
confluence
conform
confound
congeal
congenial
congenital
congregate
congruence
conjecture
conjunction
conjure
connive
connoisseur
consecrate
conscientious
consensus
considerable
consign
consolation
consolidate
consonance
conspire
consternation
constrain
consummate
contempt
contend
contentious
contest
contiguous
contingent
contort
contraband
contradict
contravene
contretemps
contrite
contrive
controversial
controvert
contumacious
conundrum
convene
conventional
convergence
conversant
convert
conviction
convivial
